ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1734893	ILMN_1734893	0.00471343628544452	1.11557054027664e-05	0.911669225923871	7.06700358808743	11.3161521127379	4.08792876499532	340745350	NTRK3	neurotrophic receptor tyrosine kinase 3
ILMN_1662932	ILMN_1662932	0.0047313844181892	1.13774676877073e-05	1.97578218736307	8.18922975094568	11.2821097314774	4.06985170108213	195546923	LCP1	lymphocyte cytosolic protein 1
ILMN_1728799	ILMN_1728799	0.0047313844181892	1.15008384757366e-05	0.971390007613709	7.93309211613438	11.2634969363966	4.05993878668216	160298191	FBP1	fructose-bisphosphatase 1
ILMN_1800468	ILMN_1800468	0.00481056448922678	1.18471651528965e-05	1.14755834003764	8.26246531307469	11.2124389091079	4.03263942406566	972775890	KLKB1	kallikrein B1
ILMN_2261416	ILMN_2261416	0.00537913162122997	1.35914858976898e-05	0.784036177072274	6.92744451999132	10.9787861981281	3.90568892290099	98985799	CD3D	CD3d molecule
ILMN_2337655	ILMN_2337655	0.00542350517397123	1.38770681864549e-05	0.760261270579022	10.5793983630945	10.9438006954775	3.8863900045779	47419913	WARS	tryptophanyl-tRNA synthetase
ILMN_1684461	ILMN_1684461	0.00558968616191024	1.49433506654912e-05	-0.806494155588394	8.04393111913587	-10.8200662338383	3.81751657132035	269308216	CADPS2	calcium dependent secretion activator 2
ILMN_1675038	ILMN_1675038	0.00558968616191024	1.500749391686e-05	0.691349852504924	8.53847831479998	10.8129458782117	3.81352364584843	557878713	PRMT2	protein arginine methyltransferase 2
ILMN_2313782	ILMN_2313782	0.00558968616191024	1.50173875008143e-05	0.97306456470644	7.4131191498963	10.8118507054368	3.81290921166523	1007892877	ATG4A	autophagy related 4A cysteine peptidase
ILMN_1786720	ILMN_1786720	0.0057910541086099	1.57436064489171e-05	0.825909353154872	11.4817509132481	10.7336307929661	3.76882577928291	224994187	PROM1	prominin 1
ILMN_1715458	ILMN_1715458	0.00728175316982609	2.03027067915268e-05	0.866518935460459	7.49115994536094	10.321079359505	3.5296614231536	748983479	PCDH10	protocadherin 10
ILMN_2396875	ILMN_2396875	0.0072922717610211	2.0833071938367e-05	0.906898554322077	7.795631464374	10.2800512120166	3.50524822561283	62243247	IGFBP3	insulin like growth factor binding protein 3
ILMN_1725485	ILMN_1725485	0.00757401397129767	2.20442420324982e-05	0.930148151401271	9.05853694817683	10.1906522185618	3.45164810924442	56790938	RGS17	regulator of G-protein signaling 17
ILMN_1722905	ILMN_1722905	0.00763947001696563	2.24790904356438e-05	0.736337356112154	9.79419815524365	10.1599105621105	3.43308743062573	1013369510	MRPS11	mitochondrial ribosomal protein S11
ILMN_2203299	ILMN_2203299	0.00798465451023907	2.37501717345434e-05	0.503836858493734	6.87076337160779	10.0737910551981	3.38073590868454	167001418	GRIA1	glutamate ionotropic receptor AMPA type subunit 1
ILMN_1721605	ILMN_1721605	0.00811461803455653	2.4396280152508e-05	0.879332070739463	7.70534201601478	10.0320025594931	3.35514247147509	188035870	SMYD2	SET and MYND domain containing 2
ILMN_1710219	ILMN_1710219	0.008684351153731	2.63869174056305e-05	0.584512190067235	6.9904041307286	9.9107631538604	3.28017585990214	260064022	CALCR	calcitonin receptor
ILMN_2065773	ILMN_2065773	0.00934068345075449	2.86798954542452e-05	0.924952986934141	9.01061084159657	9.78338698450076	3.20025466346908	1044873365	SCG5	secretogranin V
ILMN_3240524	ILMN_3240524	0.00935482765857472	2.94016131701457e-05	0.747144744425981	7.25302941824298	9.74567705457502	3.17636244486983	144953906	MFSD6	major facilitator superfamily domain containing 6
ILMN_1762410	ILMN_1762410	0.00935482765857472	2.94290890936501e-05	0.541219994793877	6.99665641434843	9.74426228811408	3.17546400331479	302148517	SLC22A2	solute carrier family 22 member 2
ILMN_1790689	ILMN_1790689	0.00935482765857472	2.96209281071739e-05	0.949848770029997	7.62563603731566	9.73442594099384	3.16921331225969	215422418	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2
ILMN_1786429	ILMN_1786429	0.0103321944096098	3.30461025062682e-05	0.74934078213866	7.43554365443896	9.57008313362392	3.06369283526968	241982698	LPAR6	lysophosphatidic acid receptor 6
