ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1672878	ILMN_1672878	0.129641777736904	0.000356591597434073	0.46133647034312	9.29584024178178	6.53349677567297	0.699797502909611	378824461	ABR	active BCR-related
ILMN_2218935	ILMN_2218935	0.129986090628144	0.000361696087911743	-0.689634494029014	8.26756575239484	-6.51803713935646	0.687315094769184	408968120	GPR37	G protein-coupled receptor 37
ILMN_1682775	ILMN_1682775	0.131074819246147	0.000368917805080949	0.97126532037952	7.64583301601217	6.49657989546155	0.669935983624137	269995985	EDN1	endothelin 1
ILMN_1727087	ILMN_1727087	0.13139198120499	0.000374012867883457	-0.81832181267227	9.87051540512343	-6.48172400112601	0.657866614249083	635574611	GJA1	gap junction protein alpha 1
ILMN_1686555	ILMN_1686555	0.131629835836169	0.000381527705187623	0.503055505224679	8.17396866419786	6.46022353276599	0.640345258657329	343962636	FYN	FYN proto-oncogene, Src family tyrosine kinase
ILMN_1755727	ILMN_1755727	0.131629835836169	0.000399118015642904	-0.345001280171569	10.0077750107756	-6.41170682529766	0.600572936144166	930588923	KDM5B	lysine demethylase 5B
ILMN_1769369	ILMN_1769369	0.131629835836169	0.000399179293312174	1.220330650882	7.97408033047499	6.4115420463622	0.600437299768668	283945527	ELAVL2	ELAV like neuron-specific RNA binding protein 2
ILMN_1730054	ILMN_1730054	0.131629835836169	0.00040021264317563	-0.397600023232851	9.10537850673429	-6.40876759353314	0.59815296543112	658309997	GSTT1	glutathione S-transferase theta 1
ILMN_1765332	ILMN_1765332	0.131629835836169	0.000409806015248974	0.311545571880776	9.43882654231969	6.38338882554243	0.577207690320638	93004075	TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)
ILMN_2189371	ILMN_2189371	0.131629835836169	0.000410939349438261	0.375644562162591	7.1243822375105	6.38043487293811	0.574763932411229	917959093	NTNG1	netrin G1
ILMN_1652521	ILMN_1652521	0.131629835836169	0.000412126013573362	0.440323296682388	9.72061612313423	6.37735172849696	0.572211995048438	33598962	MTMR9	myotubularin related protein 9
ILMN_1705546	ILMN_1705546	0.131629835836169	0.000412579924261006	-0.929538048887729	11.3627350455413	-6.37617503595162	0.571237688961673	553727227	POU5F1	POU class 5 homeobox 1
ILMN_1677617	ILMN_1677617	0.138205381023648	0.000437610590460603	1.46470240279556	7.27890439118747	6.31344960347575	0.5190194359411	194733736	UCP1	uncoupling protein 1
ILMN_1712687	ILMN_1712687	0.139686298729368	0.000446767411019537	0.571637792372886	8.25602127361619	6.29150523945111	0.50061994857621	191250770	PAK2	p21 (RAC1) activated kinase 2
ILMN_2048793	ILMN_2048793	0.143575848509232	0.00046379967694724	0.439754286279234	9.28829588099452	6.25200150701145	0.467325249348643	38570089	CIAO1	cytosolic iron-sulfur assembly component 1
ILMN_1737561	ILMN_1737561	0.14408759293854	0.000474669675451598	0.525112457923846	7.74068538672617	6.22763364145331	0.446676382833561	510025458	N4BP2L2	NEDD4 binding protein 2 like 2
